Fe-C: 	 0.28189504978468277, 	 Fe-C: 	 0.28189504978468277 	 in ( C-C)
Fe-C: 	 0.28189504978468277, 	 Fe-C: 	 0.28189504978468277 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.2647471442534505, 	 Fe-Si: 	 0.3193572131940254 	 in ( C-Si)
C-Fe: 	 0.5021514620812537, 	 C-Si: 	 0.001026039736221043 	 in ( Si-Fe)
Si-C: 	 0.0009199022579516059, 	 Si-Fe: 	 0.5430723375022207 	 in ( C-Fe)
Fe-Si: 	 0.3193572131940254, 	 Fe-C: 	 0.2647471442534505 	 in ( Si-C)
Si-Fe: 	 0.5430723375022207, 	 Si-C: 	 0.0009199022579516059 	 in ( C-Fe)
C-Si: 	 0.001026039736221043, 	 C-Fe: 	 0.5021514620812537 	 in ( Si-Fe)
Fe-Si: 	 0.30104443496193667, 	 Fe-Si: 	 0.30104443496193667 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Al-Si: 	 0.5, 	 Al-Si: 	 0.5 	 in ( Si-Si)
Si-Al: 	 0.5, 	 Si-Si: 	 0.5 	 in ( Si-Al)
Si-Si: 	 0.5, 	 Si-Al: 	 0.5 	 in ( Si-Al)
Al-Si: 	 0.5, 	 Al-Cu: 	 0.5 	 in ( Si-Cu)
Si-Al: 	 0.5, 	 Si-Cu: 	 0.5 	 in ( Cu-Al)
Cu-Si: 	 0.5, 	 Cu-Al: 	 0.5 	 in ( Si-Al)
Al-Cu: 	 0.5, 	 Al-Cu: 	 0.5 	 in ( Cu-Cu)
Cu-Al: 	 0.5, 	 Cu-Cu: 	 0.5 	 in ( Cu-Al)
Cu-Cu: 	 0.5, 	 Cu-Al: 	 0.5 	 in ( Cu-Al)
Al-Cu: 	 0.5, 	 Al-Mn: 	 0.5 	 in ( Cu-Mn)
Cu-Al: 	 0.5, 	 Cu-Mn: 	 0.5 	 in ( Mn-Al)
Mn-Cu: 	 0.5, 	 Mn-Al: 	 0.5 	 in ( Cu-Al)
Fe-C: 	 0.2647471442534505, 	 Fe-Si: 	 0.3193572131940254 	 in ( C-Si)
C-Fe: 	 0.5021514620812537, 	 C-Si: 	 0.001026039736221043 	 in ( Si-Fe)
Si-C: 	 0.0009199022579516059, 	 Si-Fe: 	 0.5430723375022207 	 in ( C-Fe)
Fe-Ni: 	 0.4940520023457808, 	 Fe-Ni: 	 0.4940520023457808 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.956348647893613, 	 Fe-B: 	 0.022412511319574537 	 in ( Ni-B)
Ni-Fe: 	 0.9714361874462368, 	 Ni-B: 	 0.008397768547590712 	 in ( B-Fe)
B-Ni: 	 0.16960679510882465, 	 B-Fe: 	 0.459798868586316 	 in ( Ni-Fe)
Fe-Ni: 	 0.4940520023457808, 	 Fe-Ni: 	 0.4940520023457808 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.956348647893613, 	 Fe-B: 	 0.022412511319574537 	 in ( Ni-B)
Ni-Fe: 	 0.9714361874462368, 	 Ni-B: 	 0.008397768547590712 	 in ( B-Fe)
B-Ni: 	 0.16960679510882465, 	 B-Fe: 	 0.459798868586316 	 in ( Ni-Fe)
Fe-B: 	 0.3486953765151398, 	 Fe-B: 	 0.3486953765151398 	 in ( B-B)
B-Fe: 	 0.0, 	 B-B: 	 1.0 	 in ( B-Fe)
B-B: 	 1.0, 	 B-Fe: 	 0.0 	 in ( B-Fe)
Fe-Ni: 	 0.9707862125385258, 	 Fe-C: 	 0.008960695567713693 	 in ( Ni-C)
Ni-Fe: 	 0.980763844464626, 	 Ni-C: 	 0.0015012544963390188 	 in ( C-Fe)
C-Ni: 	 0.05972777427325873, 	 C-Fe: 	 0.36016754910268534 	 in ( Ni-Fe)
Fe-Ni: 	 0.9685871460592638, 	 Fe-Si: 	 0.010906174587471998 	 in ( Ni-Si)
Ni-Fe: 	 0.9757131521729884, 	 Ni-Si: 	 0.004886926945536219 	 in ( Si-Fe)
Si-Ni: 	 0.15065823384205562, 	 Si-Fe: 	 0.3386982311544645 	 in ( Ni-Fe)
Fe-Ni: 	 0.4940520023457808, 	 Fe-Ni: 	 0.4940520023457808 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.9646464842655947, 	 Fe-Al: 	 0.014512711838732512 	 in ( Ni-Al)
Ni-Fe: 	 0.9774713401117198, 	 Ni-Al: 	 0.0035813173974934484 	 in ( Al-Fe)
Al-Ni: 	 0.10286346536816517, 	 Al-Fe: 	 0.42237942783112303 	 in ( Ni-Fe)
Fe-Ni: 	 0.0751228551348118, 	 Fe-Mn: 	 0.9230633299273688 	 in ( Ni-Mn)
Ni-Fe: 	 0.6904834714445794, 	 Ni-Mn: 	 0.292955957383409 	 in ( Mn-Fe)
Mn-Ni: 	 0.033313930494738755, 	 Mn-Fe: 	 0.9647976594269068 	 in ( Ni-Fe)
Fe-Ni: 	 0.956348647893613, 	 Fe-B: 	 0.022412511319574537 	 in ( Ni-B)
Ni-Fe: 	 0.9714361874462368, 	 Ni-B: 	 0.008397768547590712 	 in ( B-Fe)
B-Ni: 	 0.16960679510882465, 	 B-Fe: 	 0.459798868586316 	 in ( Ni-Fe)
Fe-Ni: 	 0.4940520023457808, 	 Fe-Ni: 	 0.4940520023457808 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.956348647893613, 	 Fe-B: 	 0.022412511319574537 	 in ( Ni-B)
Ni-Fe: 	 0.9714361874462368, 	 Ni-B: 	 0.008397768547590712 	 in ( B-Fe)
B-Ni: 	 0.16960679510882465, 	 B-Fe: 	 0.459798868586316 	 in ( Ni-Fe)
Fe-Ni: 	 0.4940520023457808, 	 Fe-Ni: 	 0.4940520023457808 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.956348647893613, 	 Fe-B: 	 0.022412511319574537 	 in ( Ni-B)
Ni-Fe: 	 0.9714361874462368, 	 Ni-B: 	 0.008397768547590712 	 in ( B-Fe)
B-Ni: 	 0.16960679510882465, 	 B-Fe: 	 0.459798868586316 	 in ( Ni-Fe)
Fe-B: 	 0.022412511319574537, 	 Fe-Ni: 	 0.956348647893613 	 in ( B-Ni)
B-Fe: 	 0.459798868586316, 	 B-Ni: 	 0.16960679510882465 	 in ( Ni-Fe)
Ni-B: 	 0.008397768547590712, 	 Ni-Fe: 	 0.9714361874462368 	 in ( B-Fe)
Fe-B: 	 0.3486953765151398, 	 Fe-B: 	 0.3486953765151398 	 in ( B-B)
B-Fe: 	 0.0, 	 B-B: 	 1.0 	 in ( B-Fe)
B-B: 	 1.0, 	 B-Fe: 	 0.0 	 in ( B-Fe)
Fe-Ni: 	 0.4940520023457808, 	 Fe-Ni: 	 0.4940520023457808 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.956348647893613, 	 Fe-B: 	 0.022412511319574537 	 in ( Ni-B)
Ni-Fe: 	 0.9714361874462368, 	 Ni-B: 	 0.008397768547590712 	 in ( B-Fe)
B-Ni: 	 0.16960679510882465, 	 B-Fe: 	 0.459798868586316 	 in ( Ni-Fe)
Fe-Ni: 	 0.9685871460592638, 	 Fe-Si: 	 0.010906174587471998 	 in ( Ni-Si)
Ni-Fe: 	 0.9757131521729884, 	 Ni-Si: 	 0.004886926945536219 	 in ( Si-Fe)
Si-Ni: 	 0.15065823384205562, 	 Si-Fe: 	 0.3386982311544645 	 in ( Ni-Fe)
Fe-Ni: 	 0.4940520023457808, 	 Fe-Ni: 	 0.4940520023457808 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.956348647893613, 	 Fe-B: 	 0.022412511319574537 	 in ( Ni-B)
Ni-Fe: 	 0.9714361874462368, 	 Ni-B: 	 0.008397768547590712 	 in ( B-Fe)
B-Ni: 	 0.16960679510882465, 	 B-Fe: 	 0.459798868586316 	 in ( Ni-Fe)
Fe-Ni: 	 0.9685871460592638, 	 Fe-Si: 	 0.010906174587471998 	 in ( Ni-Si)
Ni-Fe: 	 0.9757131521729884, 	 Ni-Si: 	 0.004886926945536219 	 in ( Si-Fe)
Si-Ni: 	 0.15065823384205562, 	 Si-Fe: 	 0.3386982311544645 	 in ( Ni-Fe)
Fe-B: 	 0.3486953765151398, 	 Fe-B: 	 0.3486953765151398 	 in ( B-B)
B-Fe: 	 0.0, 	 B-B: 	 1.0 	 in ( B-Fe)
B-B: 	 1.0, 	 B-Fe: 	 0.0 	 in ( B-Fe)
Fe-B: 	 0.4340152205614551, 	 Fe-Si: 	 0.2085280253704465 	 in ( B-Si)
B-Fe: 	 0.6126176335178435, 	 B-Si: 	 0.008987811950602127 	 in ( Si-Fe)
Si-B: 	 0.013729669117968205, 	 Si-Fe: 	 0.4496297695093778 	 in ( B-Fe)
Fe-Si: 	 0.2760801568730133, 	 Fe-Si: 	 0.2760801568730133 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Ni: 	 0.9707862125385258, 	 Fe-C: 	 0.008960695567713693 	 in ( Ni-C)
Ni-Fe: 	 0.980763844464626, 	 Ni-C: 	 0.0015012544963390188 	 in ( C-Fe)
C-Ni: 	 0.05972777427325873, 	 C-Fe: 	 0.36016754910268534 	 in ( Ni-Fe)
Fe-Ni: 	 0.9685871460592638, 	 Fe-Si: 	 0.010906174587471998 	 in ( Ni-Si)
Ni-Fe: 	 0.9757131521729884, 	 Ni-Si: 	 0.004886926945536219 	 in ( Si-Fe)
Si-Ni: 	 0.15065823384205562, 	 Si-Fe: 	 0.3386982311544645 	 in ( Ni-Fe)
Fe-Ni: 	 0.4940520023457808, 	 Fe-Ni: 	 0.4940520023457808 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.9646464842655947, 	 Fe-Al: 	 0.014512711838732512 	 in ( Ni-Al)
Ni-Fe: 	 0.9774713401117198, 	 Ni-Al: 	 0.0035813173974934484 	 in ( Al-Fe)
Al-Ni: 	 0.10286346536816517, 	 Al-Fe: 	 0.42237942783112303 	 in ( Ni-Fe)
Fe-Ni: 	 0.0751228551348118, 	 Fe-Mn: 	 0.9230633299273688 	 in ( Ni-Mn)
Ni-Fe: 	 0.6904834714445794, 	 Ni-Mn: 	 0.292955957383409 	 in ( Mn-Fe)
Mn-Ni: 	 0.033313930494738755, 	 Mn-Fe: 	 0.9647976594269068 	 in ( Ni-Fe)
Fe-Ni: 	 0.956348647893613, 	 Fe-B: 	 0.022412511319574537 	 in ( Ni-B)
Ni-Fe: 	 0.9714361874462368, 	 Ni-B: 	 0.008397768547590712 	 in ( B-Fe)
B-Ni: 	 0.16960679510882465, 	 B-Fe: 	 0.459798868586316 	 in ( Ni-Fe)
Fe-Ni: 	 0.4940520023457808, 	 Fe-Ni: 	 0.4940520023457808 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.956348647893613, 	 Fe-B: 	 0.022412511319574537 	 in ( Ni-B)
Ni-Fe: 	 0.9714361874462368, 	 Ni-B: 	 0.008397768547590712 	 in ( B-Fe)
B-Ni: 	 0.16960679510882465, 	 B-Fe: 	 0.459798868586316 	 in ( Ni-Fe)
Fe-Ni: 	 0.9685871460592638, 	 Fe-Si: 	 0.010906174587471998 	 in ( Ni-Si)
Ni-Fe: 	 0.9757131521729884, 	 Ni-Si: 	 0.004886926945536219 	 in ( Si-Fe)
Si-Ni: 	 0.15065823384205562, 	 Si-Fe: 	 0.3386982311544645 	 in ( Ni-Fe)
Fe-Ni: 	 0.4940520023457808, 	 Fe-Ni: 	 0.4940520023457808 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.956348647893613, 	 Fe-B: 	 0.022412511319574537 	 in ( Ni-B)
Ni-Fe: 	 0.9714361874462368, 	 Ni-B: 	 0.008397768547590712 	 in ( B-Fe)
B-Ni: 	 0.16960679510882465, 	 B-Fe: 	 0.459798868586316 	 in ( Ni-Fe)
Fe-Ni: 	 0.9685871460592638, 	 Fe-Si: 	 0.010906174587471998 	 in ( Ni-Si)
Ni-Fe: 	 0.9757131521729884, 	 Ni-Si: 	 0.004886926945536219 	 in ( Si-Fe)
Si-Ni: 	 0.15065823384205562, 	 Si-Fe: 	 0.3386982311544645 	 in ( Ni-Fe)
Fe-B: 	 0.022412511319574537, 	 Fe-Ni: 	 0.956348647893613 	 in ( B-Ni)
B-Fe: 	 0.459798868586316, 	 B-Ni: 	 0.16960679510882465 	 in ( Ni-Fe)
Ni-B: 	 0.008397768547590712, 	 Ni-Fe: 	 0.9714361874462368 	 in ( B-Fe)
Fe-B: 	 0.3486953765151398, 	 Fe-B: 	 0.3486953765151398 	 in ( B-B)
B-Fe: 	 0.0, 	 B-B: 	 1.0 	 in ( B-Fe)
B-B: 	 1.0, 	 B-Fe: 	 0.0 	 in ( B-Fe)
Fe-B: 	 0.4340152205614551, 	 Fe-Si: 	 0.2085280253704465 	 in ( B-Si)
B-Fe: 	 0.6126176335178435, 	 B-Si: 	 0.008987811950602127 	 in ( Si-Fe)
Si-B: 	 0.013729669117968205, 	 Si-Fe: 	 0.4496297695093778 	 in ( B-Fe)
Fe-Si: 	 0.010906174587471998, 	 Fe-Ni: 	 0.9685871460592638 	 in ( Si-Ni)
Si-Fe: 	 0.3386982311544645, 	 Si-Ni: 	 0.15065823384205562 	 in ( Ni-Fe)
Ni-Si: 	 0.004886926945536219, 	 Ni-Fe: 	 0.9757131521729884 	 in ( Si-Fe)
Fe-Si: 	 0.2085280253704465, 	 Fe-B: 	 0.4340152205614551 	 in ( Si-B)
Si-Fe: 	 0.4496297695093778, 	 Si-B: 	 0.013729669117968205 	 in ( B-Fe)
B-Si: 	 0.008987811950602127, 	 B-Fe: 	 0.6126176335178435 	 in ( Si-Fe)
Fe-Si: 	 0.2760801568730133, 	 Fe-Si: 	 0.2760801568730133 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Al-Ti: 	 0.4356602323133594, 	 Al-Ti: 	 0.4356602323133594 	 in ( Ti-Ti)
Ti-Al: 	 0.0, 	 Ti-Ti: 	 1.0 	 in ( Ti-Al)
Ti-Ti: 	 1.0, 	 Ti-Al: 	 0.0 	 in ( Ti-Al)
Al-Ti: 	 0.7785797833352184, 	 Al-Cu: 	 0.03348666674871757 	 in ( Ti-Cu)
Ti-Al: 	 0.7614085203634713, 	 Ti-Cu: 	 0.048579495597620766 	 in ( Cu-Al)
Cu-Ti: 	 0.2110008737766181, 	 Cu-Al: 	 0.14223870265943 	 in ( Ti-Al)
Al-Cu: 	 0.15730754628911062, 	 Al-Cu: 	 0.15730754628911062 	 in ( Cu-Cu)
Cu-Al: 	 0.0, 	 Cu-Cu: 	 1.0 	 in ( Cu-Al)
Cu-Cu: 	 1.0, 	 Cu-Al: 	 0.0 	 in ( Cu-Al)
Al-Cu: 	 0.02668613453394247, 	 Al-Mg: 	 0.822164024319323 	 in ( Cu-Mg)
Cu-Al: 	 0.12511747929831973, 	 Cu-Mg: 	 0.2806911298167296 	 in ( Mg-Al)
Mg-Cu: 	 0.05736451766453923, 	 Mg-Al: 	 0.7877808910519792 	 in ( Cu-Al)
Al-Si: 	 0.0033047253292025707, 	 Al-Si: 	 0.0033047253292025707 	 in ( Si-Si)
Si-Al: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Al)
Si-Si: 	 1.0, 	 Si-Al: 	 0.0 	 in ( Si-Al)
Al-Si: 	 0.001237633517820451, 	 Al-Cu: 	 0.25570275569711837 	 in ( Si-Cu)
Si-Al: 	 0.003670679496173328, 	 Si-Cu: 	 0.0008419232104572714 	 in ( Cu-Al)
Cu-Si: 	 0.0002948789030160851, 	 Cu-Al: 	 0.2656201585669903 	 in ( Si-Al)
Al-Cu: 	 0.15730754628911062, 	 Al-Cu: 	 0.15730754628911062 	 in ( Cu-Cu)
Cu-Al: 	 0.0, 	 Cu-Cu: 	 1.0 	 in ( Cu-Al)
Cu-Cu: 	 1.0, 	 Cu-Al: 	 0.0 	 in ( Cu-Al)
Al-Cu: 	 0.22864113479891846, 	 Al-Mn: 	 0.012617423376219496 	 in ( Cu-Mn)
Cu-Al: 	 0.012553484662034823, 	 Cu-Mn: 	 0.9150483052189138 	 in ( Mn-Al)
Mn-Cu: 	 0.9384123571363807, 	 Mn-Al: 	 0.0007104447386428554 	 in ( Cu-Al)
Al-Si: 	 0.0033047253292025707, 	 Al-Si: 	 0.0033047253292025707 	 in ( Si-Si)
Si-Al: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Al)
Si-Si: 	 1.0, 	 Si-Al: 	 0.0 	 in ( Si-Al)
Al-Si: 	 0.001237633517820451, 	 Al-Cu: 	 0.25570275569711837 	 in ( Si-Cu)
Si-Al: 	 0.003670679496173328, 	 Si-Cu: 	 0.0008419232104572714 	 in ( Cu-Al)
Cu-Si: 	 0.0002948789030160851, 	 Cu-Al: 	 0.2656201585669903 	 in ( Si-Al)
Al-Cu: 	 0.15730754628911062, 	 Al-Cu: 	 0.15730754628911062 	 in ( Cu-Cu)
Cu-Al: 	 0.0, 	 Cu-Cu: 	 1.0 	 in ( Cu-Al)
Cu-Cu: 	 1.0, 	 Cu-Al: 	 0.0 	 in ( Cu-Al)
Al-Cu: 	 0.28905408399693516, 	 Al-O: 	 1.70015777468575e-07 	 in ( Cu-O)
Cu-Al: 	 0.2270674414230297, 	 Cu-O: 	 0.013863851204911178 	 in ( O-Al)
O-Cu: 	 0.040526718339280655, 	 O-Al: 	 3.904114370607083e-07 	 in ( Cu-Al)
Fe-Si: 	 0.3193572131940254, 	 Fe-C: 	 0.2647471442534505 	 in ( Si-C)
Si-Fe: 	 0.5430723375022207, 	 Si-C: 	 0.0009199022579516059 	 in ( C-Fe)
C-Si: 	 0.001026039736221043, 	 C-Fe: 	 0.5021514620812537 	 in ( Si-Fe)
Fe-Si: 	 0.30104443496193667, 	 Fe-Si: 	 0.30104443496193667 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.28189504978468277, 	 Fe-C: 	 0.28189504978468277 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.2647471442534505, 	 Fe-Si: 	 0.3193572131940254 	 in ( C-Si)
C-Fe: 	 0.5021514620812537, 	 C-Si: 	 0.001026039736221043 	 in ( Si-Fe)
Si-C: 	 0.0009199022579516059, 	 Si-Fe: 	 0.5430723375022207 	 in ( C-Fe)
Fe-Si: 	 0.30104443496193667, 	 Fe-Si: 	 0.30104443496193667 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.3193572131940254, 	 Fe-C: 	 0.2647471442534505 	 in ( Si-C)
Si-Fe: 	 0.5430723375022207, 	 Si-C: 	 0.0009199022579516059 	 in ( C-Fe)
C-Si: 	 0.001026039736221043, 	 C-Fe: 	 0.5021514620812537 	 in ( Si-Fe)
Fe-Si: 	 0.30104443496193667, 	 Fe-Si: 	 0.30104443496193667 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.3193572131940254, 	 Fe-C: 	 0.2647471442534505 	 in ( Si-C)
Si-Fe: 	 0.5430723375022207, 	 Si-C: 	 0.0009199022579516059 	 in ( C-Fe)
C-Si: 	 0.001026039736221043, 	 C-Fe: 	 0.5021514620812537 	 in ( Si-Fe)
Fe-Si: 	 0.30104443496193667, 	 Fe-Si: 	 0.30104443496193667 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.28189504978468277, 	 Fe-C: 	 0.28189504978468277 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.2647471442534505, 	 Fe-Si: 	 0.3193572131940254 	 in ( C-Si)
C-Fe: 	 0.5021514620812537, 	 C-Si: 	 0.001026039736221043 	 in ( Si-Fe)
Si-C: 	 0.0009199022579516059, 	 Si-Fe: 	 0.5430723375022207 	 in ( C-Fe)
Fe-Si: 	 0.3193572131940254, 	 Fe-C: 	 0.2647471442534505 	 in ( Si-C)
Si-Fe: 	 0.5430723375022207, 	 Si-C: 	 0.0009199022579516059 	 in ( C-Fe)
C-Si: 	 0.001026039736221043, 	 C-Fe: 	 0.5021514620812537 	 in ( Si-Fe)
Fe-Si: 	 0.30104443496193667, 	 Fe-Si: 	 0.30104443496193667 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.28189504978468277, 	 Fe-C: 	 0.28189504978468277 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.2647471442534505, 	 Fe-Si: 	 0.3193572131940254 	 in ( C-Si)
C-Fe: 	 0.5021514620812537, 	 C-Si: 	 0.001026039736221043 	 in ( Si-Fe)
Si-C: 	 0.0009199022579516059, 	 Si-Fe: 	 0.5430723375022207 	 in ( C-Fe)
Fe-C: 	 0.28189504978468277, 	 Fe-C: 	 0.28189504978468277 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.2647471442534505, 	 Fe-Si: 	 0.3193572131940254 	 in ( C-Si)
C-Fe: 	 0.5021514620812537, 	 C-Si: 	 0.001026039736221043 	 in ( Si-Fe)
Si-C: 	 0.0009199022579516059, 	 Si-Fe: 	 0.5430723375022207 	 in ( C-Fe)
Fe-Si: 	 0.30104443496193667, 	 Fe-Si: 	 0.30104443496193667 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.28189504978468277, 	 Fe-C: 	 0.28189504978468277 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.2647471442534505, 	 Fe-Si: 	 0.3193572131940254 	 in ( C-Si)
C-Fe: 	 0.5021514620812537, 	 C-Si: 	 0.001026039736221043 	 in ( Si-Fe)
